"per effect - effect" "number"
"increased import of oilseeds" 1
"increased import of plant-based fibers" 1
"increased import of sugar" 1
"increased import price for rice" 1
"increased income equality" 1
"increased income inequality" 1
"increased irrigation water supply" 1
"increased meat production" 1
"increased milk production" 1
"increased non-agricultural prices" 1
"increased non-food prices" 1
"increased oilseed consumption" 1
"increased pesticide use" 1
"increased poverty" 1
"increased price of dairy" 1
"increased price of domestic agricultural goods" 1
"increased price of irrigated crops" 1
"increased price of labour" 1
"increased price of meat" 1
"increased price of rice" 1
"increased price of wheat" 1
"increased prices of goods" 1
"increased production of plant-based fibers" 1
"increased real wages" 1
"increased return to investments in agricultural sector" 1
"increased return to labour" 1
"increased returns to capital" 1
"increased rice area" 1
"increased rice exports" 1
"increased rice production" 1
"increased selling time for food products" 1
"increased sugar consumption" 1
"increased supply of ecosystem services" 1
"increased use of chemical fertilisers" 1
"increased vegetable & fruit consumption" 1
"increased wages for skilled workers" 1
"increased water security" 1
"minimum price for milk" 1
"mitigation of greenhouse gas emissions" 1
"movement of labour from agriculture to non-agriculture" 1
"movement of labour from non-agriculture to agriculture" 1
"near term return of rice prices to pre-reform levels" 1
"no change in average profit" 1
"no change in consumption of dairy" 1
"no change in diets in the upper income quartile (Q1)" 1
"no change in diets in the upper middle income quartile (Q2)" 1
"no change in meat consumption" 1
"no change in price of imported rice" 1
"no change in prices of specific crop(s)" 1
"no change in wheat consumption" 1
"no change price of imported rice" 1
"no movement of labour between agricultural and non-agricultural sector" 1
"reduced added value for certain crops" 1
"reduced cereal prices" 1
"reduced consumption of plant-based fibers" 1
"reduced cost of labour" 1
"reduced dairy production" 1
"reduced demand for farm land" 1
"reduced domestic rice production" 1
"reduced earthquake frequency" 1
"reduced export of feedgrains" 1
"reduced export of plant-based fibers" 1
"reduced farm-gate price for dairy" 1
"reduced farm-gate price for feedgrains" 1
"reduced farm-gate price for meat" 1
"reduced farm-gate price for oilseeds" 1
"reduced farm-gate price for rice" 1
"reduced farm-gate price for sugar" 1
"reduced farm-gate prices of vegetables & fruits" 1
"reduced farm-gate prices of wheat" 1
"reduced farm output" 1
"reduced feed exports" 1
"reduced feedgrain production" 1
"reduced fertiliser prices" 1
"reduced food inflation" 1
"reduced food self-sufficiency" 1
"reduced food shortages" 1
"reduced food waste" 1
"reduced fruit & vegetable production" 1
"reduced import of feedgrains" 1
"reduced import of meat" 1
"reduced import of rice" 1
"reduced import of vegetables & fruits" 1
"reduced import of wheat" 1
"reduced incidence of human disease" 1
"reduced labour demand in nonagricultural sector" 1
"reduced labour returns" 1
"reduced land allocated to food crops" 1
"reduced land rental rates" 1
"reduced market concentration" 1
"reduced oilseed production - total [volume]" 1
"reduced poverty gap" 1
"reduced price of cereal - average [monetary unit]" 1
"reduced price of coffee" 1
"reduced price of labour" 1
"reduced price of maize - average [monetary unit]" 1
"reduced price of oilseeds" 1
"reduced price of plant-based fibers" 1
"reduced price of rice" 1
"reduced price of skilled labour" 1
"reduced price of unskilled labour" 1
"reduced price of vegetables & fruits" 1
"reduced production costs" 1
"reduced real wages" 1
"reduced returns to capital" 1
"reduced rice area" 1
"reduced rice import price" 1
"reduced rice production" 1
"reduced rice rice imports" 1
"reduced sewage discharge" 1
"reduced sugar production" 1
"reduced supply chain costs" 1
"reduced total inflation" 1
"reduced transportation costs (% change USD)" 1
"reduced wages" 1
"reduced wages for unskilled workers" 1
"reduced wheat production" 1
"reduction in fodder purchases" 1
"unclear" 1
"unskilled farm workers leave agriculture for nonfarm work" 1
"worse diets in the middle lower income quertile (Q3)" 1
