"per measure - measure" "number"
"increase tax on biocides" 1
"increased export tax on X" 1
"increased interest rate" 1
"increased penalties for unregistered businesses" 1
"increased shelf life for X" 1
"increased value added tax" 1
"introduce farmer's markets" 1
"introduce non-tariff trade barriers" 1
"investment in agricultural machinery & equipment" 1
"investment in fertiliser industry" 1
"investment in market infrastructure" 1
"land market closure" 1
"land reform/redistribution" 1
"liberalisation of fertiliser prices" 1
"livestock vaccination campaign" 1
"minimum export price for X" 1
"mobile market programme targeting food insecure households" 1
"open for trade with neighbouring countries" 1
"perfect information communication through agricultural extension services" 1
"promote export of X" 1
"promotion of agricultural machinery & equipment" 1
"promotion of improved seed" 1
"provide trainings in fertiliser use" 1
"provide trainings in pesticide use" 1
"provide trainings in waste separation" 1
"quantity-based production requirements for X" 1
"quantity-based X export restrictions" 1
"redistributive direct payments" 1
"reduce direct payments" 1
"reduce direct payments for X production" 1
"reduce export tax on X" 1
"reduce import tax on X" 1
"reduce minimum support price for X" 1
"reduce non-tariff trade barriers" 1
"reduce subsidies on agrochemicals" 1
"reduce subsidies on fertilisers" 1
"reduce value added tax for poor households" 1
"reduce value added tax for X" 1
"reduce value added tax on hotels and restaurants" 1
"relocation of water-demanding crops" 1
"remove direct payments" 1
"remove quantity-based X export restrictions" 1
"rice self-sufficiency programme" 1
"ride service to grocery shop for food insecure households" 1
"rural settlement consolidation" 1
"setup local X distribution network" 1
"sewage treatment" 1
"short-term subsidies on (hybrid/improved) seeds" 1
"short-term subsidies on fertiliser" 1
"soil erosion control" 1
"start X processing factory" 1
"subsidies for establishment of perennials" 1
"subsidies for marketing activities" 1
"subsidies for primary processing" 1
"subsidies for productive infrastructure" 1
"subsidies for pure breed livestock acquisition" 1
"subsidies on agricultural labour" 1
"subsidies on energy consumption" 1
"subsidies on farm inputs" 1
"subsidies on high-quality seed" 1
"subsidies on housing loans" 1
"subsidies on irrigation and drainage projects" 1
"subsidies on supplementary feed during and after drought" 1
"subsidies on supplementary feed during drought" 1
"subsidies on supplementary feed during forage shortage" 1
"subsidies on X in convenience stores" 1
"support fertiliser application through price incentives" 1
"tax exemption to fertiliser" 1
"training and scholarship scheme" 1
"trust-building between extension services and farmers" 1
"two-child policy" 1
"unclear" 1
"value added tax exemptions for X" 1
"variable cost subsidies for X production" 1
"willing-buyer willing-seller land reform stimulated by grants" 1
